Booking_ID,RoomType,FromDate,Adults,Children,Breakfast,Number of Special Requests,Airport Pickup,Weekend Nights,Weeknights,Loyalty Points,Lead time in days,Booking Type,Existing Customer,Previous Cancellations,Average Room Price,Booking Status
INN14254,Neptune,3/10/2018,2,0,Buffet Breakfast,1,0,1,3,0,219,Online,0,0,102.85,Canceled
INN16192,Venus,30/12/2018,2,0,Buffet Breakfast,1,0,2,2,0,23,Online,0,0,133.55,Arrived
INN04354,Neptune,19/8/2018,2,0,Buffet Breakfast,1,0,2,3,0,303,Offline,0,0,78.0,Arrived
INN01119,Venus,15/8/2018,2,0,Buffet Breakfast,0,0,1,2,0,133,Online,0,0,113.6,Canceled
INN17611,Neptune,31/8/2018,1,0,Buffet Breakfast,0,0,0,2,0,70,Online,0,0,121.5,Canceled
INN19447,Venus,27/6/2018,2,0,Buffet Breakfast,0,0,1,5,0,35,Online,0,0,128.4,Canceled
INN09083,Venus,16/10/2017,2,0,Buffet Breakfast,2,0,2,2,0,45,Online,0,0,78.54,Arrived
INN01024,Neptune,6/6/2018,1,0,Buffet Breakfast,0,0,1,1,0,118,Offline,0,0,110.0,Arrived
INN24005,Neptune,5/6/2018,1,0,Buffet Breakfast,0,0,2,2,0,163,Offline,0,0,100.0,Canceled
INN30274,Neptune,14/10/2018,2,0,Buffet Breakfast,0,0,1,2,0,233,Offline,0,0,90.0,Canceled
INN20296,Venus,11/9/2018,2,0,Buffet Breakfast,2,1,2,1,0,14,Online,0,0,149.67,Arrived
INN27955,Neptune,26/9/2018,2,0,Luxury Buffet Breakfast,0,0,1,2,0,418,Offline,0,0,107.0,Canceled
INN31924,Neptune,30/7/2018,2,0,Luxury Buffet Breakfast,1,0,1,1,0,301,Offline,0,0,115.0,Canceled
INN29838,Neptune,10/5/2018,1,0,Buffet Breakfast,0,0,0,3,0,71,Offline,0,0,80.0,Arrived
INN15502,Neptune,5/11/2018,2,0,Buffet Breakfast,1,0,0,1,0,11,Online,0,0,130.0,Canceled
INN06607,Neptune,15/12/2018,2,0,Buffet Breakfast,1,0,0,3,0,5,Online,0,0,96.0,Arrived
INN09895,Neptune,29/9/2018,2,0,Luxury Buffet Breakfast,0,0,0,3,0,1,Corporate,0,0,146.0,Arrived
INN01440,Neptune,16/10/2018,2,0,Buffet Breakfast,0,0,2,2,0,54,Offline,0,0,81.0,Arrived
INN01282,Neptune,19/10/2018,1,0,Not Selected,1,0,0,2,0,7,Online,0,0,103.18,Arrived
INN09947,Neptune,16/12/2018,2,0,Buffet Breakfast,2,0,1,2,0,60,Online,0,0,93.6,Arrived
INN21326,Neptune,23/11/2018,1,0,Buffet Breakfast,2,0,0,1,0,46,Online,0,0,86.4,Arrived
INN02102,Neptune,19/2/2018,2,0,Buffet Breakfast,0,1,0,1,0,1,Corporate,0,0,91.0,Arrived
INN06498,Venus,20/4/2018,3,0,Buffet Breakfast,2,0,0,1,0,33,Online,0,0,146.7,Arrived
INN03705,Neptune,19/3/2018,1,0,Buffet Breakfast,0,0,2,4,0,73,Online,0,0,73.67,Canceled
INN27594,Venus,4/7/2018,2,0,Buffet Breakfast,1,0,1,3,0,25,Online,0,0,166.0,Arrived
INN08571,Neptune,8/12/2018,1,0,Buffet Breakfast,0,0,0,3,0,31,Offline,0,0,67.68,Arrived
INN10572,Venus,9/10/2018,3,0,Buffet Breakfast,0,0,1,0,0,103,Online,0,0,151.2,Canceled
INN23024,Venus,1/6/2018,3,0,Buffet Breakfast,0,0,1,4,0,71,Offline,0,0,115.6,Canceled
INN05189,Neptune,10/10/2018,1,0,Buffet Breakfast,0,0,1,2,0,4,Corporate,0,0,159.0,Arrived
INN21475,Venus,13/9/2018,1,0,Buffet Breakfast,0,0,0,3,0,47,Offline,0,0,120.0,Arrived
