Booking_ID,RoomType,FromDate,Adults,Children,Breakfast,Number of Special Requests,Airport Pickup,Weekend Nights,Weeknights,Loyalty Points,Lead time in days,Booking Type,Existing Customer,Previous Cancellations,Average Room Price
INN16774,Neptune,16/12/2018,1,0,Buffet Breakfast,0,1,0,1,0,2,Corporate,0,0,67.0
INN14528,Neptune,20/3/2018,2,0,Buffet Breakfast,1,0,1,0,0,13,Offline,0,0,85.0
INN07763,Neptune,1/4/2018,2,0,Buffet Breakfast,1,0,2,2,0,93,Online,0,0,82.45
INN27105,Neptune,24/6/2018,1,0,Buffet Breakfast,0,0,0,2,0,3,Offline,0,0,95.0
INN15430,Neptune,29/7/2017,2,1,Buffet Breakfast,2,0,2,5,0,106,Online,0,0,106.75
INN14773,Neptune,9/5/2018,2,0,Not Selected,1,0,1,1,0,21,Online,0,0,72.42
INN14271,Neptune,24/8/2018,2,0,Buffet Breakfast,0,0,0,3,0,164,Online,0,0,76.46
INN11717,Neptune,31/10/2018,2,0,Buffet Breakfast,0,0,1,2,0,192,Offline,0,0,68.23
INN20410,Venus,25/8/2018,2,0,Buffet Breakfast,0,0,0,3,0,134,Online,0,0,109.8
INN14971,Venus,20/4/2018,2,0,Buffet Breakfast,0,0,0,4,0,117,Online,0,0,99.45
INN27351,Neptune,10/3/2018,1,0,Buffet Breakfast,1,0,0,1,0,57,Online,0,0,54.98
INN32644,Neptune,9/6/2018,2,0,Buffet Breakfast,1,0,0,1,0,10,Online,0,0,121.0
INN10806,Neptune,18/9/2017,2,0,Luxury Buffet Breakfast,0,0,0,2,0,74,Offline,0,0,109.0
INN02251,Neptune,29/1/2018,2,0,Not Selected,1,0,0,1,0,1,Online,0,0,79.0
INN26829,Neptune,13/12/2018,2,0,Not Selected,2,0,0,3,0,40,Online,0,0,94.67
INN09163,Neptune,18/10/2017,1,0,Buffet Breakfast,0,0,1,0,0,34,Offline,0,0,69.3
INN33466,Neptune,30/9/2018,2,0,Buffet Breakfast,0,0,1,2,0,267,Offline,0,0,95.0
INN05950,Neptune,13/8/2018,2,1,Buffet Breakfast,1,0,0,1,0,195,Online,0,0,121.5
INN29661,Neptune,4/10/2017,2,0,Buffet Breakfast,0,0,2,0,0,61,Offline,0,0,91.0
INN34548,Neptune,8/6/2018,2,0,Buffet Breakfast,0,0,2,4,0,75,Offline,0,0,80.75
INN27172,Neptune,9/10/2018,1,0,Buffet Breakfast,0,0,1,0,0,110,Offline,0,0,120.0
INN28627,Neptune,6/11/2017,2,0,Buffet Breakfast,2,0,1,2,0,29,Online,0,0,96.3
INN36104,Neptune,2/5/2018,2,0,Not Selected,0,0,1,4,0,97,Online,0,0,78.95
INN29936,Neptune,2/9/2018,2,0,Buffet Breakfast,1,0,1,2,0,230,Online,0,0,96.3
INN28666,Venus,8/7/2018,2,0,Buffet Breakfast,0,0,1,2,0,75,Online,0,0,129.0
INN10901,Neptune,6/10/2017,2,0,Buffet Breakfast,2,0,0,3,0,32,Online,0,0,94.5
INN22758,Neptune,12/10/2017,1,0,Buffet Breakfast,0,0,1,0,0,7,Corporate,0,0,65.0
INN24810,Neptune,26/7/2018,2,0,Buffet Breakfast,1,0,2,5,0,196,Online,0,0,66.53
INN02834,Neptune,26/9/2018,2,0,Luxury Buffet Breakfast,0,0,1,2,0,418,Online,0,0,107.0
INN09240,Neptune,11/7/2018,2,0,Buffet Breakfast,1,0,1,5,0,70,Offline,0,0,85.0
INN04145,Neptune,5/5/2018,2,0,Buffet Breakfast,1,0,0,3,0,130,Online,0,0,105.3
INN14352,Neptune,23/9/2018,2,1,Buffet Breakfast,1,0,0,2,0,141,Online,0,0,147.6
INN23411,Neptune,6/8/2017,2,0,Not Selected,0,0,0,2,0,0,Online,0,0,81.0
INN15038,Neptune,27/12/2018,2,0,Not Selected,1,0,0,4,0,213,Online,0,0,79.48
INN17782,Neptune,4/6/2018,2,0,Buffet Breakfast,0,0,1,1,0,275,Offline,0,0,62.8
INN11415,Neptune,25/8/2017,1,0,Buffet Breakfast,0,1,0,2,0,11,Online,0,0,97.0
INN21354,Neptune,22/9/2018,2,0,Buffet Breakfast,0,0,0,3,0,276,Offline,0,0,95.0
INN16325,Neptune,3/10/2018,2,0,Not Selected,2,1,1,2,0,11,Online,0,0,144.0
INN14532,Neptune,7/3/2018,2,0,Buffet Breakfast,1,0,1,2,0,28,Offline,0,0,87.0
INN02564,Neptune,18/5/2018,1,0,Buffet Breakfast,0,0,0,1,0,0,Corporate,0,0,140.0
INN28100,Neptune,21/7/2018,1,0,Luxury Buffet Breakfast,0,0,0,2,0,292,Offline,0,0,90.0
